episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1619,1,18.2923,14.8569,0.173,426,1325,10,12,0.050,100,41.26,50000,499.24,3,1,24.675(30.843%)(0.501m),41.000(41.000%)(2.250m),52.000(52.000%)(3.429m),43.000(43.000%)(2.464m),30.000(37.500%)(1.071m),17.432(43.579%)(0.796m),23.000(57.500%)(1.393m),359.775,2681.624
1620,1,18.0955,14.8212,0.188,449,1375,7,84,0.050,100,41.30,50000,530.85,4,1,24.611(30.764%)(0.494m),40.000(40.000%)(2.143m),53.000(53.000%)(3.536m),48.000(48.000%)(3.000m),25.000(31.250%)(0.536m),17.386(43.464%)(0.791m),18.000(45.000%)(0.857m),322.264,3266.297
1621,1,15.9104,14.8127,0.212,414,1300,68,54,0.050,100,41.33,50000,525.23,5,1,24.000(30.000%)(0.429m),51.000(51.000%)(3.321m),64.000(64.000%)(4.714m),40.308(40.308%)(2.176m),18.940(23.675%)(0.000m),17.000(42.500%)(0.750m),13.304(33.260%)(0.354m),373.528,2830.420
1622,1,17.7529,14.8306,0.202,413,1297,1,74,0.050,100,41.37,50000,515.18,6,1,24.677(30.847%)(0.501m),47.000(47.000%)(2.893m),59.000(59.000%)(4.179m),43.000(43.000%)(2.464m),24.000(30.000%)(0.429m),17.434(43.584%)(0.796m),17.000(42.500%)(0.750m),359.775,2760.940
1623,1,13.8814,14.7215,0.186,415,1302,29,79,0.050,100,41.40,50000,500.00,7,1,24.961(31.202%)(0.532m),46.000(46.000%)(2.786m),86.000(86.000%)(7.071m),64.000(64.000%)(4.714m),19.000(23.750%)(0.000m),17.639(44.098%)(0.818m),12.000(30.000%)(0.214m),473.656,3073.133
1624,1,17.0283,14.6761,0.187,415,1302,0,101,0.050,100,41.44,50000,504.09,8,1,24.585(30.731%)(0.491m),47.000(47.000%)(2.893m),62.000(62.000%)(4.500m),39.000(39.000%)(2.036m),24.000(30.000%)(0.429m),17.367(43.417%)(0.789m),17.000(42.500%)(0.750m),326.544,2739.899
1625,1,18.2032,14.6964,0.188,508,1503,0,59,0.050,100,41.48,50000,598.15,9,1,25.148(31.435%)(0.552m),49.000(49.000%)(3.107m),65.000(65.000%)(4.821m),48.000(48.000%)(3.000m),23.000(28.750%)(0.321m),17.774(44.435%)(0.833m),17.000(42.500%)(0.750m),570.011,3939.096
1626,1,14.5970,14.7234,0.183,427,1327,52,64,0.050,100,41.51,50000,507.87,10,1,21.370(26.713%)(0.147m),44.337(44.337%)(2.608m),84.000(84.000%)(6.857m),48.000(48.000%)(3.000m),23.000(28.750%)(0.321m),15.075(37.688%)(0.544m),16.000(40.000%)(0.643m),558.323,3101.001
1627,1,0.1768,14.3636,0.184,185,551,16,22,0.050,70,41.49,50000,217.85,0,0,13.282(16.603%)(0.000m),28.939(28.939%)(0.958m),79.005(79.005%)(6.322m),39.000(39.000%)(2.036m),27.000(33.750%)(0.750m),9.713(24.282%)(0.000m),27.000(67.500%)(1.821m),326.544,3425.955
1628,1,18.5533,14.4485,0.182,414,1300,0,80,0.050,100,41.52,50000,493.92,1,1,24.477(30.596%)(0.480m),48.000(48.000%)(3.000m),62.000(62.000%)(4.500m),36.000(36.000%)(1.714m),24.000(30.000%)(0.429m),17.288(43.221%)(0.781m),17.000(42.500%)(0.750m),205.719,2681.700
1629,1,15.9269,14.4567,0.189,413,1297,26,108,0.050,100,41.56,50000,486.09,2,1,24.585(30.731%)(0.491m),47.000(47.000%)(2.893m),62.000(62.000%)(4.500m),39.000(39.000%)(2.036m),20.000(25.000%)(0.000m),17.367(43.417%)(0.789m),14.000(35.000%)(0.429m),326.544,2739.899
1630,1,15.9398,14.4101,0.179,420,1313,53,87,0.050,100,41.60,50000,486.49,3,1,16.371(20.464%)(0.000m),35.087(35.087%)(1.616m),66.000(66.000%)(4.929m),39.000(39.000%)(2.036m),24.000(30.000%)(0.429m),11.481(28.704%)(0.159m),17.000(42.500%)(0.750m),326.544,2780.674
1631,1,16.5470,14.6820,0.175,414,1300,0,81,0.050,100,41.63,50000,491.57,4,1,24.585(30.731%)(0.491m),47.000(47.000%)(2.893m),62.000(62.000%)(4.500m),45.000(45.000%)(2.679m),27.000(33.750%)(0.750m),17.367(43.417%)(0.789m),20.000(50.000%)(1.071m),430.499,2792.699
1632,1,17.8985,14.6576,0.205,413,1297,1,65,0.050,100,41.67,50000,492.22,5,1,24.677(30.847%)(0.501m),47.000(47.000%)(2.893m),59.000(59.000%)(4.179m),43.000(43.000%)(2.464m),24.000(30.000%)(0.429m),17.434(43.584%)(0.796m),17.000(42.500%)(0.750m),359.775,2760.928
