episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1832,1,16.6926,15.5177,0.157,417,1308,81,61,0.050,100,46.12,50000,542.07,4,1,20.821(26.027%)(0.088m),43.624(43.624%)(2.531m),63.000(63.000%)(4.607m),42.000(42.000%)(2.357m),24.000(30.000%)(0.429m),14.652(36.631%)(0.498m),17.000(42.500%)(0.750m),338.041,2778.252
1833,1,19.5906,15.6428,0.164,462,1402,6,68,0.050,100,46.15,50000,604.87,5,1,26.000(32.500%)(0.643m),45.000(45.000%)(2.679m),55.000(55.000%)(3.750m),49.740(49.740%)(3.186m),23.713(29.641%)(0.398m),19.000(47.500%)(0.964m),16.738(41.845%)(0.722m),546.216,3320.711
1834,1,14.7533,15.5352,0.170,415,1302,0,110,0.050,100,46.18,50000,552.89,6,1,25.103(31.378%)(0.547m),41.000(41.000%)(2.250m),62.000(62.000%)(4.500m),39.000(39.000%)(2.036m),22.000(27.500%)(0.214m),17.741(44.353%)(0.829m),17.000(42.500%)(0.750m),300.602,2687.540
1835,1,17.0243,15.6559,0.185,416,1303,23,92,0.050,100,46.21,50000,566.07,7,1,20.561(25.701%)(0.060m),43.414(43.414%)(2.509m),69.000(69.000%)(5.250m),42.000(42.000%)(2.357m),23.000(28.750%)(0.321m),14.472(36.179%)(0.479m),17.000(42.500%)(0.750m),332.330,2809.967
1836,1,16.2510,15.6238,0.164,422,1318,53,87,0.050,100,46.24,50000,559.03,8,1,21.000(26.250%)(0.107m),43.000(43.000%)(2.464m),62.000(62.000%)(4.500m),47.000(47.000%)(2.893m),23.006(28.757%)(0.322m),15.000(37.500%)(0.536m),16.224(40.560%)(0.667m),355.226,2746.707
1837,1,17.1730,15.5927,0.165,413,1297,1,107,0.050,100,46.27,50000,577.33,9,1,24.894(31.118%)(0.524m),42.000(42.000%)(2.357m),59.000(59.000%)(4.179m),41.000(41.000%)(2.250m),22.000(27.500%)(0.214m),17.591(43.976%)(0.813m),17.000(42.500%)(0.750m),306.357,2690.367
1838,1,18.8727,15.6206,0.173,473,1427,56,20,0.050,100,46.30,50000,646.59,10,1,24.000(30.000%)(0.429m),32.000(32.000%)(1.286m),58.000(58.000%)(4.071m),42.996(42.996%)(2.464m),20.349(25.437%)(0.037m),22.000(55.000%)(1.286m),14.321(35.801%)(0.463m),121.842,3598.009
1839,1,18.7064,15.6028,0.154,428,1329,0,60,0.050,100,46.33,50000,591.09,11,1,24.670(30.837%)(0.500m),45.000(45.000%)(2.679m),66.000(66.000%)(4.929m),51.000(51.000%)(3.321m),28.000(35.000%)(0.857m),17.428(43.570%)(0.796m),20.000(50.000%)(1.071m),453.165,2982.640
1840,1,19.6487,15.6439,0.175,412,1294,0,73,0.050,100,46.36,50000,538.23,12,1,24.316(30.395%)(0.462m),41.000(41.000%)(2.250m),62.000(62.000%)(4.500m),42.000(42.000%)(2.357m),27.000(33.750%)(0.750m),17.172(42.930%)(0.768m),20.000(50.000%)(1.071m),336.661,2701.645
1841,1,19.7743,15.7064,0.173,414,1299,0,21,0.050,100,46.39,50000,543.00,13,1,24.419(30.524%)(0.473m),47.000(47.000%)(2.893m),62.000(62.000%)(4.500m),46.000(46.000%)(2.786m),27.000(33.750%)(0.750m),17.247(43.117%)(0.776m),23.000(57.500%)(1.393m),434.747,2797.657
